name,chineseName,price,description,category,chineseCategory,location,id,foodCategory,img_url
Seaweed Salad,,,,Poke Toppings,,2,115,toppings,
Mango,,,,Poke Toppings,,2,116,toppings,
Masago (Fish Egg),,,,Poke Toppings,,2,117,toppings,
Sushi Ginger,,,,Poke Toppings,,2,118,toppings,
Pickled Radish & Carrot,,,,Poke Toppings,,2,119,toppings,
Poke Sauce,,,,Poke Toppings,,2,120,toppings,
Spicy Mayo,,,,Poke Toppings,,2,121,toppings,
Brown Sugar Milkshake, 黑糖冰沙,6.95,,Face Tea Special,肥宅特饮,3,70,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Brown_Sugar_Milkshake.jpg
Coffee Milkshake ,鸳鸯冰沙,6.95,,Face Tea Special,肥宅特饮,3,65,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Coffee_Milkshake.jpg?t=2023-10-26T20%3A55%3A17.108Z
French Fries ,薯条,3.95,,Snacks,小吃,3,80,food,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/French_Fries.jpg
Mango Pomelo Sago ,杨枝甘露,6.95,"Mango and milk smoothie w/ crystal boba, sago, grapefruit pulp, and diced mango",Face Tea Special,肥宅特饮,3,63,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Mango_Pomelo_Sago.jpg
Pina Colada, 椰林飘香,6.5,,Face Tea Special,肥宅特饮,3,69,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Peach_Oolong_Tea_W.cheese_Foam.jpg
Summer Dream ,芒不错,5.75,Mango and Sprite green tea,Face Tea Special,肥宅特饮,3,59,drink,"https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Summer_Dream.jpg?t=2023-10-26T21%3A13%3A14.214Z
"
Rose-Berry ,冷玫花茶,5.75,Blueberry tea w/ baby rose buds,Face Tea Special,肥宅特饮,3,67,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Rose-Berry.jpg?t=2023-10-26T21%3A14%3A28.308Z
Honey Wasabi,,,,Poke Toppings,,2,122,toppings,
Eel Sauce,,,,Poke Toppings,,2,123,toppings,
Mango Sauce,,,,Poke Toppings,,2,124,toppings,
Sriracha Sauce,,,,Poke Toppings,,2,125,toppings,
Crispy Onion,,,,Poke Toppings,,2,126,toppings,
